,Date,Close
4794,8/27/2018,1927.6801
4793,8/24/2018,1905.39
4792,8/23/2018,1902.9
4791,8/22/2018,1904.9
4790,8/21/2018,1883.42
4789,8/20/2018,1876.71
4788,8/17/2018,1882.22
4787,8/16/2018,1886.52
4786,8/15/2018,1882.62
4785,8/14/2018,1919.65
4784,8/13/2018,1896.2
4783,8/10/2018,1886.3
4782,8/9/2018,1898.52
4781,8/8/2018,1886.52
4780,8/7/2018,1862.48
4779,8/6/2018,1847.75
4778,8/3/2018,1823.29
4777,8/2/2018,1834.33
4776,8/1/2018,1797.17
4775,7/31/2018,1777.4399
4774,7/30/2018,1779.22
4773,7/27/2018,1817.27
4772,7/26/2018,1808
4771,7/25/2018,1863.61
4770,7/24/2018,1829.24
4769,7/23/2018,1802
4768,7/20/2018,1813.7
4767,7/19/2018,1812.97
4766,7/18/2018,1842.92
4765,7/17/2018,1843.9301
4764,7/16/2018,1822.49
4763,7/13/2018,1813.03
4762,7/12/2018,1796.62
4761,7/11/2018,1755
4760,7/10/2018,1743.0699
4759,7/9/2018,1739.02
4758,7/6/2018,1710.63
4757,7/5/2018,1699.73
4756,7/3/2018,1693.96
4755,7/2/2018,1713.78
4754,6/29/2018,1699.8
4753,6/28/2018,1701.45
4752,6/27/2018,1660.51
4751,6/26/2018,1691.09
4750,6/25/2018,1663.15
4749,6/22/2018,1715.67
4748,6/21/2018,1730.22
4747,6/20/2018,1750.08
4746,6/19/2018,1734.78
4745,6/18/2018,1723.79
4744,6/15/2018,1715.97
4743,6/14/2018,1723.86
4742,6/13/2018,1704.86
4741,6/12/2018,1698.75
4740,6/11/2018,1689.12
4739,6/8/2018,1683.99
4738,6/7/2018,1689.3
4737,6/6/2018,1695.75
4736,6/5/2018,1696.35
4735,6/4/2018,1665.27
4734,6/1/2018,1641.54
4733,5/31/2018,1629.62
4732,5/30/2018,1624.89
4731,5/29/2018,1612.87
4730,5/25/2018,1610.15
4729,5/24/2018,1603.0699
4728,5/23/2018,1601.86
4727,5/22/2018,1581.4
4726,5/21/2018,1585.46
4725,5/18/2018,1574.37
4724,5/17/2018,1581.76
4723,5/16/2018,1587.28
4722,5/15/2018,1576.12
4721,5/14/2018,1601.54
4720,5/11/2018,1602.91
4719,5/10/2018,1609.08
4718,5/9/2018,1608
4717,5/8/2018,1592.39
4716,5/7/2018,1600.14
4715,5/4/2018,1580.95
4714,5/3/2018,1572.08
4713,5/2/2018,1569.6801
4712,5/1/2018,1582.26
4711,4/30/2018,1566.13
4710,4/27/2018,1572.62
4709,4/26/2018,1517.96
4708,4/25/2018,1460.17
4707,4/24/2018,1460.09
4706,4/23/2018,1517.86
4705,4/20/2018,1527.49
4704,4/19/2018,1556.91
4703,4/18/2018,1527.84
4702,4/17/2018,1503.83
4701,4/16/2018,1441.5
4700,4/13/2018,1430.79
4699,4/12/2018,1448.5
4698,4/11/2018,1427.05
4697,4/10/2018,1436.22
4696,4/9/2018,1406.08
4695,4/6/2018,1405.23
4694,4/5/2018,1451.75
4693,4/4/2018,1410.5699
4692,4/3/2018,1392.05
4691,4/2/2018,1371.99
4690,3/29/2018,1447.34
4689,3/28/2018,1431.42
4688,3/27/2018,1497.05
4687,3/26/2018,1555.86
4686,3/23/2018,1495.5601
4685,3/22/2018,1544.92
4684,3/21/2018,1581.86
4683,3/20/2018,1586.51
4682,3/19/2018,1544.9301
4681,3/16/2018,1571.6801
4680,3/15/2018,1582.3199
4679,3/14/2018,1591
4678,3/13/2018,1588.1801
4677,3/12/2018,1598.39
4676,3/9/2018,1578.89
4675,3/8/2018,1551.86
4674,3/7/2018,1545
4673,3/6/2018,1537.64
4672,3/5/2018,1523.61
4671,3/2/2018,1500.25
4670,3/1/2018,1493.45
4669,2/28/2018,1512.45
4668,2/27/2018,1511.98
4667,2/26/2018,1521.95
4666,2/23/2018,1500
4665,2/22/2018,1485.34
4664,2/21/2018,1482.92
4663,2/20/2018,1468.35
4662,2/16/2018,1448.6899
4661,2/15/2018,1461.76
4660,2/14/2018,1451.05
4659,2/13/2018,1414.51
4658,2/12/2018,1386.23
4657,2/9/2018,1339.6
4656,2/8/2018,1350.5
4655,2/7/2018,1416.78
4654,2/6/2018,1442.84
4653,2/5/2018,1390
4652,2/2/2018,1429.95
4651,2/1/2018,1390
4650,1/31/2018,1450.89
4649,1/30/2018,1437.8199
4648,1/29/2018,1417.6801
4647,1/26/2018,1402.05
4646,1/25/2018,1377.95
4645,1/24/2018,1357.51
4644,1/23/2018,1362.54
4643,1/22/2018,1327.3101
4642,1/19/2018,1294.58
4641,1/18/2018,1293.3199
4640,1/17/2018,1295
4639,1/16/2018,1304.86
4638,1/12/2018,1305.2
4637,1/11/2018,1276.6801
4636,1/10/2018,1254.33
4635,1/9/2018,1252.7
4634,1/8/2018,1246.87
4633,1/5/2018,1229.14
4632,1/4/2018,1209.59
4631,1/3/2018,1204.2
4630,1/2/2018,1189.01
4629,12/29/2017,1169.47
4628,12/28/2017,1186.1
4627,12/27/2017,1182.26
4626,12/26/2017,1176.76
4625,12/22/2017,1168.36
4624,12/21/2017,1174.76
4623,12/20/2017,1177.62
4622,12/19/2017,1187.38
4621,12/18/2017,1190.58
4620,12/15/2017,1179.14
4619,12/14/2017,1174.26
4618,12/13/2017,1164.13
4617,12/12/2017,1165.08
4616,12/11/2017,1168.92
4615,12/8/2017,1162
4614,12/7/2017,1159.79
4613,12/6/2017,1152.35
4612,12/5/2017,1141.5699
4611,12/4/2017,1133.95
4610,12/1/2017,1162.35
4609,11/30/2017,1176.75
4608,11/29/2017,1161.27
4607,11/28/2017,1193.6
4606,11/27/2017,1195.83
4605,11/24/2017,1186
4604,11/22/2017,1156.16
4603,11/21/2017,1139.49
4602,11/20/2017,1126.3101
4601,11/17/2017,1129.88
4600,11/16/2017,1137.29
4599,11/15/2017,1126.6899
4598,11/14/2017,1136.84
4597,11/13/2017,1129.17
4596,11/10/2017,1125.35
4595,11/9/2017,1129.13
4594,11/8/2017,1132.88
4593,11/7/2017,1123.17
4592,11/6/2017,1120.66
4591,11/3/2017,1111.6
4590,11/2/2017,1094.22
4589,11/1/2017,1103.6801
4588,10/31/2017,1105.28
4587,10/30/2017,1110.85
4586,10/27/2017,1100.95
4585,10/26/2017,972.43
4584,10/25/2017,972.91
4583,10/24/2017,975.9
4582,10/23/2017,966.3
4581,10/20/2017,982.91
4580,10/19/2017,986.61
4579,10/18/2017,997
4578,10/17/2017,1009.13
4577,10/16/2017,1006.34
4576,10/13/2017,1002.94
4575,10/12/2017,1000.93
4574,10/11/2017,995
4573,10/10/2017,987.2
4572,10/9/2017,990.99
4571,10/6/2017,989.58
4570,10/5/2017,980.85
4569,10/4/2017,965.45
4568,10/3/2017,957.1
4567,10/2/2017,959.19
4566,9/29/2017,961.35
4565,9/28/2017,956.4
4564,9/27/2017,950.87
4563,9/26/2017,938.6
4562,9/25/2017,939.79
4561,9/22/2017,955.1
4560,9/21/2017,964.65
4559,9/20/2017,973.21
4558,9/19/2017,969.86
4557,9/18/2017,974.19
4556,9/15/2017,986.79
4555,9/14/2017,992.21
4554,9/13/2017,999.6
4553,9/12/2017,982.58
4552,9/11/2017,977.96
4551,9/8/2017,965.9
4550,9/7/2017,979.47
4549,9/6/2017,967.8
4548,9/5/2017,965.27
4547,9/1/2017,978.25
4546,8/31/2017,980.6
4545,8/30/2017,967.59
4544,8/29/2017,954.06
4543,8/28/2017,946.02
4542,8/25/2017,945.26
4541,8/24/2017,952.45
4540,8/23/2017,958
4539,8/22/2017,966.9
4538,8/21/2017,953.29
4537,8/18/2017,958.47
4536,8/17/2017,960.57
4535,8/16/2017,978.18
4534,8/15/2017,982.74
4533,8/14/2017,983.3
4532,8/11/2017,967.99
4531,8/10/2017,956.92
4530,8/9/2017,982.01
4529,8/8/2017,989.84
4528,8/7/2017,992.27
4527,8/4/2017,987.58
4526,8/3/2017,986.92
4525,8/2/2017,995.89
4524,8/1/2017,996.19
4523,7/31/2017,987.78
4522,7/28/2017,1020.04
4521,7/27/2017,1046
4520,7/26/2017,1052.8
4519,7/25/2017,1039.87
4518,7/24/2017,1038.95
4517,7/21/2017,1025.67
4516,7/20/2017,1028.7
4515,7/19/2017,1026.87
4514,7/18/2017,1024.45
4513,7/17/2017,1010.04
4512,7/14/2017,1001.81
4511,7/13/2017,1000.63
4510,7/12/2017,1006.51
4509,7/11/2017,994.13
4508,7/10/2017,996.47
4507,7/7/2017,978.76
4506,7/6/2017,965.14
4505,7/5/2017,971.4
4504,7/3/2017,953.66
4503,6/30/2017,968
4502,6/29/2017,975.93
4501,6/28/2017,990.33
4500,6/27/2017,976.78
4499,6/26/2017,993.98
4498,6/23/2017,1003.74
4497,6/22/2017,1001.3
4496,6/21/2017,1002.23
4495,6/20/2017,992.59
4494,6/19/2017,995.17
4493,6/16/2017,987.71
4492,6/15/2017,964.17
4491,6/14/2017,976.47
4490,6/13/2017,980.79
4489,6/12/2017,964.91
4488,6/9/2017,978.31
4487,6/8/2017,1010.27
4486,6/7/2017,1010.07
4485,6/6/2017,1003
4484,6/5/2017,1011.34
4483,6/2/2017,1006.73
4482,6/1/2017,995.95
4481,5/31/2017,994.62
4480,5/30/2017,996.7
4479,5/26/2017,995.78
4478,5/25/2017,993.38
4477,5/24/2017,980.35
4476,5/23/2017,971.54
4475,5/22/2017,970.67
4474,5/19/2017,959.84
4473,5/18/2017,958.49
4472,5/17/2017,944.76
4471,5/16/2017,966.07
4470,5/15/2017,957.97
4469,5/12/2017,961.35
4468,5/11/2017,947.62
4467,5/10/2017,948.95
4466,5/9/2017,952.82
4465,5/8/2017,949.04
4464,5/5/2017,934.15
4463,5/4/2017,937.53
4462,5/3/2017,941.03
4461,5/2/2017,946.94
4460,5/1/2017,948.23
4459,4/28/2017,924.99
4458,4/27/2017,918.38
4457,4/26/2017,909.29
4456,4/25/2017,907.62
4455,4/24/2017,907.41
4454,4/21/2017,898.53
4453,4/20/2017,902.06
4452,4/19/2017,899.2
4451,4/18/2017,903.78
4450,4/17/2017,901.99
4449,4/13/2017,884.67
4448,4/12/2017,896.23
4447,4/11/2017,902.36
4446,4/10/2017,907.04
4445,4/7/2017,894.88
4444,4/6/2017,898.28
4443,4/5/2017,909.28
4442,4/4/2017,906.83
4441,4/3/2017,891.51
4440,3/31/2017,886.54
4439,3/30/2017,876.34
4438,3/29/2017,874.32
4437,3/28/2017,856
4436,3/27/2017,846.82
4435,3/24/2017,845.61
4434,3/23/2017,847.38
4433,3/22/2017,848.06
4432,3/21/2017,843.2
4431,3/20/2017,856.97
4430,3/17/2017,852.31
4429,3/16/2017,853.42
4428,3/15/2017,852.97
4427,3/14/2017,852.53
4426,3/13/2017,854.59
4425,3/10/2017,852.46
4424,3/9/2017,853
4423,3/8/2017,850.5
4422,3/7/2017,846.02
4421,3/6/2017,846.61
4420,3/3/2017,849.88
4419,3/2/2017,848.91
4418,3/1/2017,853.08
4417,2/28/2017,845.04
4416,2/27/2017,848.64
4415,2/24/2017,845.24
4414,2/23/2017,852.19
4413,2/22/2017,855.61
4412,2/21/2017,856.44
4411,2/17/2017,845.07
4410,2/16/2017,844.14
4409,2/15/2017,842.7
4408,2/14/2017,836.39
4407,2/13/2017,836.53
4406,2/10/2017,827.46
4405,2/9/2017,821.36
4404,2/8/2017,819.71
4403,2/7/2017,812.5
4402,2/6/2017,807.64
4401,2/3/2017,810.2
4400,2/2/2017,839.95
4399,2/1/2017,832.35
4398,1/31/2017,823.48
4397,1/30/2017,830.38
4396,1/27/2017,835.77
4395,1/26/2017,839.15
4394,1/25/2017,836.52
4393,1/24/2017,822.44
4392,1/23/2017,817.88
4391,1/20/2017,808.33
4390,1/19/2017,809.04
4389,1/18/2017,807.48
4388,1/17/2017,809.72
4387,1/13/2017,817.14
4386,1/12/2017,813.64
4385,1/11/2017,799.02
4384,1/10/2017,795.9
4383,1/9/2017,796.92
4382,1/6/2017,795.99
4381,1/5/2017,780.45
4380,1/4/2017,757.18
4379,1/3/2017,753.67
4378,12/30/2016,749.87
4377,12/29/2016,765.15
4376,12/28/2016,772.13
4375,12/27/2016,771.4
4374,12/23/2016,760.59
4373,12/22/2016,766.34
4372,12/21/2016,770.6
4371,12/20/2016,771.22
4370,12/19/2016,766
4369,12/16/2016,757.77
4368,12/15/2016,761
4367,12/14/2016,768.82
4366,12/13/2016,774.34
4365,12/12/2016,760.12
4364,12/9/2016,768.66
4363,12/8/2016,767.33
4362,12/7/2016,770.42
4361,12/6/2016,764.72
4360,12/5/2016,759.36
4359,12/2/2016,740.34
4358,12/1/2016,743.65
4357,11/30/2016,750.57
4356,11/29/2016,762.52
4355,11/28/2016,766.77
4354,11/25/2016,780.37
4353,11/23/2016,780.12
4352,11/22/2016,785.33
4351,11/21/2016,780
4350,11/18/2016,760.16
4349,11/17/2016,756.4
4348,11/16/2016,746.49
4347,11/15/2016,743.24
4346,11/14/2016,719.07
4345,11/11/2016,739.01
4344,11/10/2016,742.38
4343,11/9/2016,771.88
4342,11/8/2016,787.75
4341,11/7/2016,784.93
4340,11/4/2016,755.05
4339,11/3/2016,767.03
4338,11/2/2016,765.56
4337,11/1/2016,785.41
4336,10/31/2016,789.82
4335,10/28/2016,776.32
4334,10/27/2016,818.36
4333,10/26/2016,822.59
4332,10/25/2016,835.18
4331,10/24/2016,838.09
4330,10/21/2016,818.99
4329,10/20/2016,810.32
4328,10/19/2016,817.69
4327,10/18/2016,817.65
4326,10/17/2016,812.95
4325,10/14/2016,822.96
4324,10/13/2016,829.28
4323,10/12/2016,834.09
4322,10/11/2016,831
4321,10/10/2016,841.71
4320,10/7/2016,839.43
4319,10/6/2016,841.66
4318,10/5/2016,844.36
4317,10/4/2016,834.03
4316,10/3/2016,836.74
4315,9/30/2016,837.31
4314,9/29/2016,829.05
4313,9/28/2016,828.72
4312,9/27/2016,816.11
4311,9/26/2016,799.16
4310,9/23/2016,805.75
4309,9/22/2016,804.7
4308,9/21/2016,789.74
4307,9/20/2016,780.22
4306,9/19/2016,775.1
4305,9/16/2016,778.52
4304,9/15/2016,769.69
4303,9/14/2016,761.09
4302,9/13/2016,761.01
4301,9/12/2016,771.49
4300,9/9/2016,760.14
4299,9/8/2016,784.06
4298,9/7/2016,784.48
4297,9/6/2016,788.87
4296,9/2/2016,772.44
4295,9/1/2016,770.62
4294,8/31/2016,769.16
4293,8/30/2016,767.58
4292,8/29/2016,771.29
4291,8/26/2016,769
4290,8/25/2016,759.22
4289,8/24/2016,757.25
4288,8/23/2016,762.45
4287,8/22/2016,759.48
4286,8/19/2016,757.31
4285,8/18/2016,764.46
4284,8/17/2016,764.63
4283,8/16/2016,764.04
4282,8/15/2016,768.49
4281,8/12/2016,772.56
4280,8/11/2016,771.24
4279,8/10/2016,768.56
4278,8/9/2016,768.31
4277,8/8/2016,766.56
4276,8/5/2016,765.98
4275,8/4/2016,760.77
4274,8/3/2016,754.64
4273,8/2/2016,760.58
4272,8/1/2016,767.74
4271,7/29/2016,758.81
4270,7/28/2016,752.61
4269,7/27/2016,736.67
4268,7/26/2016,735.59
4267,7/25/2016,739.61
4266,7/22/2016,744.86
4265,7/21/2016,744.43
4264,7/20/2016,745.72
4263,7/19/2016,739.95
4262,7/18/2016,736.07
4261,7/15/2016,735.44
4260,7/14/2016,741.2
4259,7/13/2016,742.63
4258,7/12/2016,748.21
4257,7/11/2016,753.78
4256,7/8/2016,745.81
4255,7/7/2016,736.57
4254,7/6/2016,737.61
4253,7/5/2016,728.1
4252,7/1/2016,725.68
4251,6/30/2016,715.62
4250,6/29/2016,715.6
4249,6/28/2016,707.95
4248,6/27/2016,691.36
4247,6/24/2016,698.96
4246,6/23/2016,722.08
4245,6/22/2016,710.6
4244,6/21/2016,715.82
4243,6/20/2016,714.01
4242,6/17/2016,706.39
4241,6/16/2016,717.51
4240,6/15/2016,714.26
4239,6/14/2016,719.3
4238,6/13/2016,715.24
4237,6/10/2016,717.91
4236,6/9/2016,727.65
4235,6/8/2016,726.64
4234,6/7/2016,723.74
4233,6/6/2016,726.73
4232,6/3/2016,725.54
4231,6/2/2016,728.24
4230,6/1/2016,719.44
4229,5/31/2016,722.79
4228,5/27/2016,712.24
4227,5/26/2016,714.91
4226,5/25/2016,708.35
4225,5/24/2016,704.2
4224,5/23/2016,696.75
4223,5/20/2016,702.8
4222,5/19/2016,698.52
4221,5/18/2016,697.45
4220,5/17/2016,695.27
4219,5/16/2016,710.66
4218,5/13/2016,709.92
4217,5/12/2016,717.93
4216,5/11/2016,713.23
4215,5/10/2016,703.07
4214,5/9/2016,679.75
4213,5/6/2016,673.95
4212,5/5/2016,659.09
4211,5/4/2016,670.9
4210,5/3/2016,671.32
4209,5/2/2016,683.85
4208,4/29/2016,659.59
4207,4/28/2016,602
4206,4/27/2016,606.57
4205,4/26/2016,616.88
4204,4/25/2016,626.2
4203,4/22/2016,620.5
4202,4/21/2016,631
4201,4/20/2016,632.99
4200,4/19/2016,627.9
4199,4/18/2016,635.35
4198,4/15/2016,625.89
4197,4/14/2016,620.75
4196,4/13/2016,614.82
4195,4/12/2016,603.17
4194,4/11/2016,595.93
4193,4/8/2016,594.6
4192,4/7/2016,591.43
4191,4/6/2016,602.08
4190,4/5/2016,586.14
4189,4/4/2016,593.19
4188,4/1/2016,598.5
4187,3/31/2016,593.64
4186,3/30/2016,598.69
4185,3/29/2016,593.86
4184,3/28/2016,579.87
4183,3/24/2016,582.95
4182,3/23/2016,569.63
4181,3/22/2016,560.48
4180,3/21/2016,553.98
4179,3/18/2016,552.08
4178,3/17/2016,559.44
4177,3/16/2016,574.27
4176,3/15/2016,577.02
4175,3/14/2016,573.37
4174,3/11/2016,569.61
4173,3/10/2016,558.93
4172,3/9/2016,559.47
4171,3/8/2016,560.26
4170,3/7/2016,562.8
4169,3/4/2016,575.14
4168,3/3/2016,577.49
4167,3/2/2016,580.21
4166,3/1/2016,579.04
4165,2/29/2016,552.52
4164,2/26/2016,555.23
4163,2/25/2016,555.15
4162,2/24/2016,554.04
4161,2/23/2016,552.94
4160,2/22/2016,559.5
4159,2/19/2016,534.9
4158,2/18/2016,525
4157,2/17/2016,534.1
4156,2/16/2016,521.1
4155,2/12/2016,507.08
4154,2/11/2016,503.82
4153,2/10/2016,490.48
4152,2/9/2016,482.07
4151,2/8/2016,488.1
4150,2/5/2016,502.13
4149,2/4/2016,536.26
4148,2/3/2016,531.07
4147,2/2/2016,552.1
4146,2/1/2016,574.81
4145,1/29/2016,587
4144,1/28/2016,635.35
4143,1/27/2016,583.35
4142,1/26/2016,601.25
4141,1/25/2016,596.53
4140,1/22/2016,596.38
4139,1/21/2016,575.02
4138,1/20/2016,571.77
4137,1/19/2016,574.48
4136,1/15/2016,570.18
4135,1/14/2016,593
4134,1/13/2016,581.81
4133,1/12/2016,617.89
4132,1/11/2016,617.74
4131,1/8/2016,607.05
4130,1/7/2016,607.94
4129,1/6/2016,632.65
4128,1/5/2016,633.79
4127,1/4/2016,636.99
4126,12/31/2015,675.89
4125,12/30/2015,689.07
4124,12/29/2015,693.97
4123,12/28/2015,675.2
4122,12/24/2015,662.79
4121,12/23/2015,663.7
4120,12/22/2015,663.15
4119,12/21/2015,664.51
4118,12/18/2015,664.14
4117,12/17/2015,670.65
4116,12/16/2015,675.77
4115,12/15/2015,658.64
4114,12/14/2015,657.91
4113,12/11/2015,640.15
4112,12/10/2015,662.32
4111,12/9/2015,664.79
4110,12/8/2015,677.33
4109,12/7/2015,669.83
4108,12/4/2015,672.64
4107,12/3/2015,666.25
4106,12/2/2015,676.01
4105,12/1/2015,679.06
4104,11/30/2015,664.8
4103,11/27/2015,673.26
4102,11/25/2015,675.34
4101,11/24/2015,671.15
4100,11/23/2015,678.99
4099,11/20/2015,668.45
4098,11/19/2015,661.27
4097,11/18/2015,663.54
4096,11/17/2015,643.3
4095,11/16/2015,647.81
4094,11/13/2015,642.35
4093,11/12/2015,665.6
4092,11/11/2015,673.25
4091,11/10/2015,659.68
4090,11/9/2015,655.49
4089,11/6/2015,659.37
4088,11/5/2015,655.65
4087,11/4/2015,640.95
4086,11/3/2015,625.31
4085,11/2/2015,628.35
4084,10/30/2015,625.9
4083,10/29/2015,626.55
4082,10/28/2015,617.1
4081,10/27/2015,611.01
4080,10/26/2015,608.61
4079,10/23/2015,599.03
4078,10/22/2015,563.91
4077,10/21/2015,555.77
4076,10/20/2015,560.88
4075,10/19/2015,573.15
4074,10/16/2015,570.76
4073,10/15/2015,562.44
4072,10/14/2015,544.83
4071,10/13/2015,548.9
4070,10/12/2015,550.19
4069,10/9/2015,539.8
4068,10/8/2015,533.16
4067,10/7/2015,541.94
